,video_id,published_at,year_published,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,thumpnail,video_link,episode_number,title_new,total_like_dislike,like_ratio
32,Le0wyfegQsk,4/10/2020 6:00,2020,167654,5133,167,0,1019,The Official Podcast #175: Pray The Corona Away,https://i.ytimg.com/vi/Le0wyfegQsk/mqdefault.jpg,https://www.youtube.com/watch?v=Le0wyfegQsk,175, Pray The Corona Away,5300,97
33,EiEyHRfiT2M,4/3/2020 5:30,2020,220932,6047,132,0,862,The Official Podcast #174: Lawrence Sonntag & The Deep Web,https://i.ytimg.com/vi/EiEyHRfiT2M/mqdefault.jpg,https://www.youtube.com/watch?v=EiEyHRfiT2M,174, Lawrence Sonntag & The Deep Web,6179,98
34,PcBzbwecJgk,3/27/2020 6:24,2020,246793,6233,128,0,1056,The Official Podcast #173: Bruce Greene and the 5G Coronavirus Conspiracy,https://i.ytimg.com/vi/PcBzbwecJgk/mqdefault.jpg,https://www.youtube.com/watch?v=PcBzbwecJgk,173, Bruce Greene and the 5G Coronavirus Conspiracy,6361,98
35,FaIImbI3gEc,3/20/2020 5:56,2020,488447,22108,314,0,2221,The Official Podcast #172: SomeOrdinaryGamers,https://i.ytimg.com/vi/FaIImbI3gEc/mqdefault.jpg,https://www.youtube.com/watch?v=FaIImbI3gEc,172, SomeOrdinaryGamers,22422,99
36,aLxagau_HqQ,3/13/2020 20:28,2020,168656,5089,153,0,973,The Official Podcast #171: The Great Toilet Paper Shortage,https://i.ytimg.com/vi/aLxagau_HqQ/mqdefault.jpg,https://www.youtube.com/watch?v=aLxagau_HqQ,171, The Great Toilet Paper Shortage,5242,97
37,gZFip1dnYF4,3/6/2020 6:30,2020,182990,5006,106,0,606,The Official Podcast #170: Using Your Ass Could Prevent a Plane Crash,https://i.ytimg.com/vi/gZFip1dnYF4/mqdefault.jpg,https://www.youtube.com/watch?v=gZFip1dnYF4,170, Using Your Ass Could Prevent a Plane Crash,5112,98
38,abzfor33Z0g,2/28/2020 6:30,2020,146309,3765,68,0,590,The Official Podcast #169: Mad Mike Down,https://i.ytimg.com/vi/abzfor33Z0g/mqdefault.jpg,https://www.youtube.com/watch?v=abzfor33Z0g,169, Mad Mike Down,3833,98
39,utylpRGMwKc,2/21/2020 7:18,2020,976766,27511,527,0,4698,The Official Podcast #168: 6 Years in Prison for Runescape,https://i.ytimg.com/vi/utylpRGMwKc/mqdefault.jpg,https://www.youtube.com/watch?v=utylpRGMwKc,168, 6 Years in Prison for Runescape,28038,98
40,TdYG8luFnLA,2/14/2020 6:30,2020,178224,5884,94,0,644,The Official Podcast #167 With Justin Whang,https://i.ytimg.com/vi/TdYG8luFnLA/mqdefault.jpg,https://www.youtube.com/watch?v=TdYG8luFnLA,167,With Justin Whang,5978,98
41,dnGxAOq3ZD4,2/7/2020 7:07,2020,167227,4521,104,0,761,The Official Podcast #166: Kaya Retires,https://i.ytimg.com/vi/dnGxAOq3ZD4/mqdefault.jpg,https://www.youtube.com/watch?v=dnGxAOq3ZD4,166, Kaya Retires,4625,98
42,aOYbtG4AAo4,1/31/2020 6:44,2020,119718,4375,89,0,597,The Official Podcast #165 With Lewis Spears,https://i.ytimg.com/vi/aOYbtG4AAo4/mqdefault.jpg,https://www.youtube.com/watch?v=aOYbtG4AAo4,165,With Lewis Spears,4464,98
43,_PvL3us9le8,1/24/2020 6:00,2020,181528,4861,130,0,707,The Official Podcast #164 With Jackson Clarke,https://i.ytimg.com/vi/_PvL3us9le8/mqdefault.jpg,https://www.youtube.com/watch?v=_PvL3us9le8,164,With Jackson Clarke,4991,97
44,PhlPn4oVyi0,1/17/2020 6:00,2020,199093,5617,109,0,813,The Official Podcast #163: Jackson Quit Again (For Real),https://i.ytimg.com/vi/PhlPn4oVyi0/mqdefault.jpg,https://www.youtube.com/watch?v=PhlPn4oVyi0,163, Jackson Quit Again (For Real),5726,98
45,46upBcp4ZcM,1/10/2020 7:00,2020,138198,4018,69,0,581,The Official Podcast #162: Jackson Returns,https://i.ytimg.com/vi/46upBcp4ZcM/mqdefault.jpg,https://www.youtube.com/watch?v=46upBcp4ZcM,162, Jackson Returns,4087,98
46,7UQHB4AVUOo,1/3/2020 6:00,2020,274551,7152,237,0,1434,The Official Podcast #161: Jackson Quits,https://i.ytimg.com/vi/7UQHB4AVUOo/mqdefault.jpg,https://www.youtube.com/watch?v=7UQHB4AVUOo,161, Jackson Quits,7389,97
47,OQY76Jfq8Zs,12/28/2019 6:30,2019,158100,4413,98,0,546,The Official Podcast #160: Ticketmaster Sucks,https://i.ytimg.com/vi/OQY76Jfq8Zs/mqdefault.jpg,https://www.youtube.com/watch?v=OQY76Jfq8Zs,160, Ticketmaster Sucks,4511,98
48,FtxotxJjtS8,12/20/2019 7:05,2019,140948,3946,82,0,542,The Official Podcast #159: Building a Better Future,https://i.ytimg.com/vi/FtxotxJjtS8/mqdefault.jpg,https://www.youtube.com/watch?v=FtxotxJjtS8,159, Building a Better Future,4028,98
49,MdnoATDhnzM,12/13/2019 6:20,2019,130977,3735,217,0,842,The Official Podcast #158: Matt Walsh Rule 34,https://i.ytimg.com/vi/MdnoATDhnzM/mqdefault.jpg,https://www.youtube.com/watch?v=MdnoATDhnzM,158, Matt Walsh Rule 34,3952,95
50,snOA_5LqDlU,12/6/2019 5:30,2019,152604,4756,87,0,707,The Official Podcast #157 With Doug and Anthony,https://i.ytimg.com/vi/snOA_5LqDlU/mqdefault.jpg,https://www.youtube.com/watch?v=snOA_5LqDlU,157,With Doug and Anthony,4843,98
